metric,n,mean,std,ci95_low,ci95_high,min,max
Accuracy,10,0.7032857142857143,0.011249590569521165,0.695238241982266,0.7113331865891626,0.6871428571428572,0.7214285714285714
Precision,10,0.624934259062585,0.01711571463378018,0.6126904143983847,0.6371781037267854,0.5909090909090909,0.6448863636363636
Recall,10,0.7763704474895831,0.03490347809707885,0.751402003389825,0.8013388915893411,0.7183544303797469,0.831081081081081
F1,10,0.6918594659491623,0.012928213921431609,0.6826111788383715,0.701107753059953,0.6686838124054463,0.7105263157894737
runtime_MAE,10,31.804602724637427,1.7621426664616286,30.544041798847392,33.06516365042746,29.790901540630326,35.974256447795455
runtime_RMSE,10,50.32777165772059,3.213678421865544,48.02884460501336,52.62669871042782,46.08189678429989,57.8653683964113
runtime_R2,10,0.991164570884173,0.0016434206903986025,0.9899889385438522,0.9923402032244938,0.9877054943520595,0.9941907125215295
fidelity_MAE,10,0.028945192869137343,0.0005323221423746531,0.028564392548379128,0.02932599318989556,0.028221261733842533,0.029813564846240915
fidelity_RMSE,10,0.04237259501664807,0.001140628083073115,0.041556638840257475,0.04318855119303867,0.04094500211413276,0.04466253079132357
fidelity_R2,10,0.9493600650196509,0.0030207373181508953,0.9471991597179349,0.9515209703213668,0.946190898200661,0.9557754478003843
selection_Top1,10,0.5664285714285714,0.04641941301612833,0.533222123755559,0.5996350191015838,0.4714285714285714,0.6142857142857143
selection_mean_regret,10,0.011718263680336608,0.0021178461403143158,0.010203247818042011,0.013233279542631204,0.009786003275155499,0.016282933936008603
selection_p90_regret,10,0.04602081309975911,0.009866081554150427,0.03896304352495343,0.05307858267456479,0.03035603627928333,0.06796717010005615
