backend,metric,frozen_value,live_value,absolute_change_live_minus_frozen,relative_change_pct
ibm_fez,n_qubits,156.0,156.0,0.0,0.0
ibm_fez,pending_jobs,278.0,4.0,-274.0,-98.56115107913669
ibm_fez,median_t1_us,119.371513,135.41518082308852,16.043667823088526,13.44011432869124
ibm_fez,median_t2_us,81.037188,94.13982511118486,13.102637111184862,16.168671982034795
ibm_fez,median_1q_gate_error,0.000306,0.00035710088406411733,5.110088406411732e-05,16.69963531507102
ibm_fez,median_2q_gate_error,0.002727,0.0026913027250216603,-3.5697274978339476e-05,-1.309030985637678
ibm_fez,median_readout_error,0.008728,0.0098876953125,0.0011596953125000004,13.287068200045834
ibm_fez,coupling_density,0.014557,0.01455748552522746,4.85525227460204e-07,0.003335338513843539
ibm_marrakesh,n_qubits,156.0,156.0,0.0,0.0
ibm_marrakesh,pending_jobs,255.0,8.0,-247.0,-96.86274509803921
ibm_marrakesh,median_t1_us,166.514406,184.71574912392026,18.201343123920253,10.930791852279887
ibm_marrakesh,median_t2_us,85.199467,73.12766690975978,-12.071800090240217,-14.168868087214932
ibm_marrakesh,median_1q_gate_error,0.000343,0.00044279593465282324,9.979593465282325e-05,29.095024680123398
ibm_marrakesh,median_2q_gate_error,0.002659,0.0032276269848314776,0.0005686269848314777,21.38499378832184
ibm_marrakesh,median_readout_error,0.009888,0.012451171875,0.0025631718750000008,25.92204566140778
ibm_marrakesh,coupling_density,0.014557,0.01455748552522746,4.85525227460204e-07,0.003335338513843539
ibm_kingston,n_qubits,156.0,156.0,0.0,0.0
ibm_kingston,pending_jobs,499.0,36.0,-463.0,-92.78557114228457
ibm_kingston,median_t1_us,255.971616,227.9254424823823,-28.046173517617717,-10.956751360126475
ibm_kingston,median_t2_us,151.644539,133.81078862259642,-17.83375037740359,-11.760232511507446
ibm_kingston,median_1q_gate_error,0.00031,0.00038772071517078585,7.772071517078585e-05,25.071198442188983
ibm_kingston,median_2q_gate_error,0.001882,0.0018818793036988607,-1.2069630113929752e-07,-0.0064131934718011435
ibm_kingston,median_readout_error,0.008789,0.01055908203125,0.00177008203125,20.13974321595176
ibm_kingston,coupling_density,0.014557,0.01455748552522746,4.85525227460204e-07,0.003335338513843539
