group_type,group_value,n,positive_rate,Accuracy,Precision,Recall,F1
backend,noisy_sim,140,0.5285714285714286,0.4928571428571429,0.514018691588785,0.7432432432432432,0.6077348066298343
backend,qpu_cloud_iontrap,140,0.24285714285714285,0.8857142857142857,0.9090909090909091,0.5882352941176471,0.7142857142857143
backend,qpu_cloud_superconducting,140,0.15,0.8785714285714286,0.6111111111111112,0.5238095238095238,0.5641025641025641
backend,statevector_sim,140,0.5428571428571428,0.5357142857142857,0.5591397849462365,0.6842105263157895,0.6153846153846154
backend,tensor_network_sim,140,0.6,0.6357142857142857,0.6386554621848739,0.9047619047619048,0.7487684729064039
backend_family,qpu,280,0.19642857142857142,0.8821428571428571,0.775,0.5636363636363636,0.6526315789473685
backend_family,simulator,420,0.5571428571428572,0.5547619047619048,0.5736677115987461,0.782051282051282,0.6618444846292948
algorithm,GHZ,105,0.4095238095238095,0.6666666666666666,0.5769230769230769,0.6976744186046512,0.631578947368421
algorithm,HHL,130,0.38461538461538464,0.6692307692307692,0.5660377358490566,0.6,0.5825242718446602
algorithm,Hamiltonian,140,0.4857142857142857,0.7285714285714285,0.6875,0.8088235294117647,0.7432432432432432
algorithm,QAOA,115,0.4434782608695652,0.6608695652173913,0.5857142857142857,0.803921568627451,0.6776859504132231
algorithm,QML,90,0.4,0.6777777777777778,0.5813953488372093,0.6944444444444444,0.6329113924050633
algorithm,VQE,120,0.3416666666666667,0.7,0.5409836065573771,0.8048780487804879,0.6470588235294118
decision_profile,cost_sensitive,100,0.27,0.65,0.4230769230769231,0.8148148148148148,0.5569620253164557
decision_profile,deadline_sensitive,120,0.39166666666666666,0.7,0.5901639344262295,0.7659574468085106,0.6666666666666666
decision_profile,educational,140,0.42142857142857143,0.7785714285714286,0.71875,0.7796610169491526,0.7479674796747967
decision_profile,fidelity_sensitive,120,0.4083333333333333,0.6333333333333333,0.5531914893617021,0.5306122448979592,0.5416666666666666
decision_profile,hpc_batch,100,0.47,0.72,0.6862745098039216,0.7446808510638298,0.7142857142857143
decision_profile,research_validation,120,0.5,0.6166666666666667,0.5833333333333334,0.8166666666666667,0.6805555555555556
